2025-05-01 13:04:11,778 - INFO - Monitoring thread started
2025-05-01 13:04:11,779 - INFO - Proc-Wolf system tray monitor starting
2025-05-01 13:04:11,829 - INFO - proc-wolf v1.0.0 started. Watching processes...
2025-05-01 13:05:22,548 - WARNING - Suspicious process: MpDefenderCoreService.exe (PID: 3672), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:23,658 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 3932), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:23,808 - WARNING - Suspicious process: openvpnserv2.exe (PID: 3944), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:23,976 - WARNING - Suspicious process: Everything.exe (PID: 3952), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:24,127 - WARNING - Suspicious process: bdvpnService.exe (PID: 3968), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:24,283 - WARNING - Suspicious process: openvpnserv.exe (PID: 4000), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:24,461 - WARNING - Suspicious process: FileSyncHelper.exe (PID: 4012), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:24,950 - WARNING - Suspicious process: ZeroConfigService.exe (PID: 4108), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:25,614 - WARNING - Suspicious process: ibmpmsvc.exe (PID: 4140), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:25,941 - WARNING - Suspicious process: ProductAgentService.exe (PID: 4176), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:26,100 - WARNING - Suspicious process: EasyResume.exe (PID: 4200), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:26,282 - WARNING - Suspicious process: vmcompute.exe (PID: 4208), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:26,435 - WARNING - Suspicious process: WMIRegistrationService.exe (PID: 4216), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:26,597 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 4224), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:05:26,937 - WARNING - Suspicious process: wslservice.exe (PID: 4272), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:27,697 - WARNING - Suspicious process: vivaldi.exe (PID: 4316), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:05:27,863 - WARNING - Suspicious process: LMS.exe (PID: 4680), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:30,800 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 5536), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:05:30,958 - WARNING - Suspicious process: SearchProtocolHost.exe (PID: 6192), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:31,993 - WARNING - Suspicious process: Code.exe (PID: 6260), Threat: LOW, Action: WARN, Warning #14
2025-05-01 13:05:32,147 - WARNING - Suspicious process: unsecapp.exe (PID: 6792), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:33,462 - WARNING - Suspicious process: Code.exe (PID: 7244), Threat: LOW, Action: WARN, Warning #15
2025-05-01 13:05:33,621 - WARNING - Suspicious process: MicrosoftEdgeUpdate.exe (PID: 7340), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:34,406 - WARNING - Suspicious process: Code.exe (PID: 7744), Threat: LOW, Action: WARN, Warning #16
2025-05-01 13:05:34,913 - WARNING - Suspicious process: ShellHost.exe (PID: 7916), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:36,456 - WARNING - Suspicious process: Code.exe (PID: 8280), Threat: LOW, Action: WARN, Warning #17
2025-05-01 13:05:38,426 - WARNING - Suspicious process: Dropbox.exe (PID: 8324), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:40,652 - WARNING - Suspicious process: ProtonVPNService.exe (PID: 8888), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:40,957 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 8924), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:05:41,447 - WARNING - Suspicious process: SearchIndexer.exe (PID: 8976), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:42,873 - WARNING - Suspicious process: UserOOBEBroker.exe (PID: 9404), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:43,469 - WARNING - Suspicious process: vivaldi.exe (PID: 9864), Threat: LOW, Action: WARN, Warning #6
2025-05-01 13:05:43,744 - WARNING - Suspicious process: msedgewebview2.exe (PID: 10264), Threat: LOW, Action: WARN, Warning #8
2025-05-01 13:05:44,344 - WARNING - Suspicious process: msedgewebview2.exe (PID: 11080), Threat: LOW, Action: WARN, Warning #9
2025-05-01 13:05:45,069 - WARNING - Suspicious process: TextInputHost.exe (PID: 11164), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:47,430 - WARNING - Suspicious process: Code.exe (PID: 11284), Threat: LOW, Action: WARN, Warning #18
2025-05-01 13:05:49,412 - WARNING - Suspicious process: Code.exe (PID: 12304), Threat: LOW, Action: WARN, Warning #19
2025-05-01 13:05:50,341 - WARNING - Suspicious process: vivaldi.exe (PID: 12480), Threat: MEDIUM, Action: SOFT_KILL, Warning #7
2025-05-01 13:05:50,341 - WARNING - Attempting soft kill of vivaldi.exe (PID: 12480)
2025-05-01 13:05:50,354 - INFO - Successfully soft-killed vivaldi.exe (PID: 12480)
2025-05-01 13:05:50,515 - WARNING - Suspicious process: vmmemCmZygote (PID: 12576), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:51,134 - WARNING - Suspicious process: SearchHost.exe (PID: 12584), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:05:51,801 - WARNING - Suspicious process: msedgewebview2.exe (PID: 12756), Threat: LOW, Action: WARN, Warning #10
2025-05-01 13:05:52,174 - WARNING - Suspicious process: vivaldi.exe (PID: 12856), Threat: MEDIUM, Action: SOFT_KILL, Warning #8
2025-05-01 13:05:52,174 - WARNING - Attempting soft kill of vivaldi.exe (PID: 12856)
2025-05-01 13:05:52,196 - INFO - Successfully soft-killed vivaldi.exe (PID: 12856)
2025-05-01 13:05:54,530 - WARNING - Suspicious process: SearchFilterHost.exe (PID: 14424), Threat: LOW, Action: MONITOR, Warning #1
2025-05-01 13:05:55,983 - WARNING - Suspicious process: Code.exe (PID: 14512), Threat: LOW, Action: WARN, Warning #20
2025-05-01 13:05:57,765 - WARNING - Suspicious process: Code.exe (PID: 14984), Threat: LOW, Action: WARN, Warning #21
2025-05-01 13:05:57,935 - WARNING - Suspicious process: bdredline.exe (PID: 15012), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:05:59,251 - WARNING - Suspicious process: Code.exe (PID: 15240), Threat: LOW, Action: WARN, Warning #22
2025-05-01 13:05:59,550 - WARNING - Suspicious process: msedgewebview2.exe (PID: 15356), Threat: LOW, Action: WARN, Warning #11
2025-05-01 13:06:00,322 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 15980), Threat: LOW, Action: WARN, Warning #6
2025-05-01 13:06:01,126 - WARNING - Suspicious process: Code.exe (PID: 16184), Threat: LOW, Action: WARN, Warning #23
2025-05-01 13:06:01,862 - WARNING - Suspicious process: prevhost.exe (PID: 16240), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:02,184 - WARNING - Suspicious process: SearchFilterHost.exe (PID: 16704), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:02,563 - WARNING - Suspicious process: TranslucentTB.exe (PID: 16724), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:06:03,072 - WARNING - Suspicious process: StartMenuExperienceHost.exe (PID: 17220), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:06:04,287 - WARNING - Suspicious process: Code.exe (PID: 17580), Threat: LOW, Action: WARN, Warning #24
2025-05-01 13:06:05,142 - WARNING - Suspicious process: PowerMgr.exe (PID: 17792), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:06,584 - WARNING - Suspicious process: ApplicationFrameHost.exe (PID: 18572), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:07,014 - WARNING - Suspicious process: smartscreen.exe (PID: 19384), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:12,329 - WARNING - Suspicious process: System Idle Process (PID: 0), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:12,330 - WARNING - Attempting soft kill of System Idle Process (PID: 0)
2025-05-01 13:06:12,693 - WARNING - Suspicious process:  (PID: 188), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:12,693 - WARNING - Attempting soft kill of  (PID: 188)
2025-05-01 13:06:14,607 - WARNING - Suspicious process: OneDrive.exe (PID: 1440), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:14,608 - WARNING - Attempting soft kill of OneDrive.exe (PID: 1440)
2025-05-01 13:06:14,674 - INFO - Successfully soft-killed OneDrive.exe (PID: 1440)
2025-05-01 13:06:15,660 - WARNING - Suspicious process: DiscoverySrv.exe (PID: 1816), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:15,661 - WARNING - Attempting soft kill of DiscoverySrv.exe (PID: 1816)
2025-05-01 13:06:15,822 - WARNING - Suspicious process: WUDFHost.exe (PID: 1860), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:06:17,324 - WARNING - Suspicious process: WUDFHost.exe (PID: 2644), Threat: LOW, Action: WARN, Warning #6
2025-05-01 13:06:17,643 - WARNING - Suspicious process: ETDService.exe (PID: 2856), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:17,643 - WARNING - Attempting soft kill of ETDService.exe (PID: 2856)
2025-05-01 13:06:18,085 - WARNING - Suspicious process: msedgewebview2.exe (PID: 2892), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:18,828 - WARNING - Suspicious process: MemCompression (PID: 3044), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:19,330 - WARNING - Suspicious process: vivaldi.exe (PID: 3092), Threat: MEDIUM, Action: WARN, Warning #2
2025-05-01 13:06:19,976 - WARNING - Suspicious process: FMService64.exe (PID: 3224), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:19,976 - WARNING - Attempting soft kill of FMService64.exe (PID: 3224)
2025-05-01 13:06:21,894 - WARNING - Suspicious process: Code.exe (PID: 3636), Threat: LOW, Action: WARN, Warning #25
2025-05-01 13:06:22,219 - WARNING - Suspicious process: MpDefenderCoreService.exe (PID: 3672), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:23,356 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 3932), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:06:23,514 - WARNING - Suspicious process: openvpnserv2.exe (PID: 3944), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:23,514 - WARNING - Attempting soft kill of openvpnserv2.exe (PID: 3944)
2025-05-01 13:06:23,685 - WARNING - Suspicious process: Everything.exe (PID: 3952), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:23,685 - WARNING - Attempting soft kill of Everything.exe (PID: 3952)
2025-05-01 13:06:23,848 - WARNING - Suspicious process: bdvpnService.exe (PID: 3968), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:23,848 - WARNING - Attempting soft kill of bdvpnService.exe (PID: 3968)
2025-05-01 13:06:24,008 - WARNING - Suspicious process: openvpnserv.exe (PID: 4000), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:24,008 - WARNING - Attempting soft kill of openvpnserv.exe (PID: 4000)
2025-05-01 13:06:24,181 - WARNING - Suspicious process: FileSyncHelper.exe (PID: 4012), Threat: LOW, Action: WARN, Warning #3
